ZIP,Dependents,AGI,NumReturns,AvgAGI
12134,840,"84,268","1,710"," 49,280 "
12136,170,"43,416",430," 100,967 "
12137,410,"50,242",860," 58,421 "
12138,700,"70,074","1,330"," 52,687 "
12139,50,"6,880",140," 49,143 "
12140,490,"57,983",910," 63,718 "
12143,"1,340","127,744","2,460"," 51,928 "
12144,"4,920","574,755","10,460"," 54,948 "
12147,120,"18,979",290," 65,445 "
12148,"1,470","244,082","2,410"," 101,279 "
12149,610,"44,084",990," 44,529 "
12150,210,"24,691",470," 52,534 "
12151,180,"28,230",440," 64,159 "
12153,210,"28,187",490," 57,524 "
12154,770,"87,011","1,450"," 60,008 "
12155,450,"31,490",760," 41,434 "
12156,230,"26,462",430," 61,540 "
12157,920,"95,008","1,800"," 52,782 "
12158,"1,860","205,371","3,130"," 65,614 "
12159,"2,450","534,191","4,360"," 122,521 "
12160,220,"21,198",440," 48,177 "
12164,110,"13,070",270," 48,407 "
12165,70,"21,830",210," 103,952 "
12166,410,"28,271",660," 42,835 "
12167,510,"50,039","1,130"," 44,282 "
12168,380,"47,814",940," 50,866 "
12169,70,"8,874",160," 55,463 "
12170,"1,350","147,172","2,570"," 57,265 "
12173,360,"39,797",740," 53,780 "
12175,210,"16,139",340," 47,468 "
12176,80,"6,471",120," 53,925 "
12180,"12,050","1,106,505","22,980"," 48,151 "
12182,"3,850","317,044","7,070"," 44,844 "
12183,620,"57,083","1,430"," 39,918 "
12184,"1,790","231,252","3,280"," 70,504 "
12185,500,"60,326",960," 62,840 "
12186,"1,750","286,447","3,330"," 86,020 "
12187,220,"18,274",430," 42,498 "
12188,"2,890","347,457","5,920"," 58,692 "
12189,"4,550","433,397","9,090"," 47,678 "
12190,150,"17,347",360," 48,186 "
12192,320,"35,911",700," 51,301 "
12193,530,"61,184","1,050"," 58,270 "
12194,60,"5,515",110," 50,136 "
12196,870,"114,112","1,560"," 73,149 "
12197,490,"42,691",950," 44,938 "
12198,"2,140","269,851","4,000"," 67,463 "
12202,"3,010","115,021","4,250"," 27,064 "
12203,"4,530","960,540","13,530"," 70,993 "
12204,"1,900","253,208","3,750"," 67,522 "
12205,"6,330","780,313","14,790"," 52,759 "
